berg, borg, borgen, geborgen
geniet, genoot, genoten, genoten
nijg, neeg, negen, genegen
nijp, neep, nepen, genepen
pleeg, placht, plachten, geplacht
pluis, ploos, plozen, geplozen
prijs, prees, prezen, geprezen
riek, rook, roken, geroken
rijg, reeg, regen, geregen
rijt, reet, reten, gereten
rijf, reef, reven, gereven
rijs, rees, rezen, gerezen
rin, ron, geronnen
roep, riep, riepen, geroepen
ruik, rook, roken, geroken
scheld, schold, scholden, gescholden
schend, schond, schonden, geschonden
schenk, schonk, schonken, geschonken
schep, schiep, schiepen, geschapen
scheer, schoor, schoren, geschoren
schiet, schoot, schoten, geschoten
schijn, scheen, schenen, geschenen
schijt, scheet, scheten, geschenen
schrijd, schreed, schreden, geschreden
schrijf, schreef, schreven, geschreven
schrik, schrok, schrokken, geschrokken
schuil, school, scholen, gescholen
schuif, schoof, schroven, geschoven
sla, sloeg, sloegen, geslagen
slaap, sliep, sliepen, geslapen
slijp, sleep, slepen, geslepen
slijt, sleet, sleten, gesleten
verslind, verslond, verslonden, verslonden
slink, slonk, slonken, geslonken
sluip, sloop, slopen, geslopen
sluit, sloot, sloten, gesloten
smelt, smolt, smolten, gesmolten
smijt, smeet, smeten, gesmeten
snijd, sneed, sneden, gesneden
snuit, snoot, snoten, gesnoten
snuif, snoof, snoven, gesnoven
spijt, speet, speten, gespeten
spin, spon, sponnen, gesponnen
splijt, spleet, spleten, gespleten
spreek, sprak, spraken, gesproken
spring, sprong, sprongen, gesprongen
spruit, sproot, sproten, gesproten
spuug, spoog, spogen, gespogen
spuit, spoot, spoten, gespoten
sta, stond, stonden, gestaan
steek, stak, staken, gestoken
steel, stal, stalen, gestolen
sterf, stierf, stierven, gestorven
stijg, steeg, stegen, gestegen
stijf, steef, steven, gesteven
stink, stonk, stonken, gestonken
stoot, stiet, strieten, gestoten
strijd, streed, streden, gestreden
strijk, streek, streken, gestreken
stuif, stoof, stroven, gestoven
tijg, toog, togen, getogen
treed, trad, traden, getreden
stref, trof, troffen, getroffen
trek, trok, trokken, getrokken
val, viel, vielen, gevallen
vang, ving, vingen, gevangen
ervaar, ervoer, ervoeren, ervaren
vaar, voer, voeren, gevaren
vecht, vocht, vochten, gevochten
val, viel, vielen, gevallen
beveel, beval, bevallen, bevolen
vind, vond, vonden, gevonden
vlecht, vlocht, vlochten, gevlochten
vlieg, vloog, vlogen, gevlogen
vraag, vroeg, vroegen
vreet, vrat, vraten, gevreten
vries, vroor, vroren, gevroren
vrij, vree, vreeen, gevreeen
waai, woei, woeien
weeg, woog, wogen, gewogen
werp, wierp, wierpen, geworpen
werf, wierf, wierven, geworven
weet, wist, wisten, geweten
weef, woof, woven, geweven
ben, is, zijn, was, waren, geweest
wijs, wees, wezen, gewezen
wil, wou, wilden, gewild
vind, wond, wonden, gewonden
win, won, wonne, gewonnen
word, werd, werden, geworden
wreek, wroken, gewroken
wrijf, wreef, wreven, gewreven
wring, wrong, wrongen, gewrongen
zeg, zei, zeiden
zeik, zeek, zeken, gezeken
zend, zond, zonden, gezonden
zied, zood, zoden, gezoden
zie, zag, zien, gezien
zijg, zeeg, zegen, gezegen
zing, zong, zongen, gezongen
zink, zonk, zonken, gezonken
zin, zon, zonnen, gezonnen
zit, zat, zeten, gezeten
zoek, zocht, zochten, gezocht
zuig, zoog, zogen, gezogen
zuip, zoop, zopen, gezopen
zal, zou, zouden
verzwelg, verzwolg, verzwolgen, verzwolgen
zwel, zwol, zwollen, gezwollen
zwem, zwom, zwommen, gezwommen
zweer, zwoor, zworen, gezworen
zweer, zwoer, zwoeren, gezworen
zwerf, zwierf, zwierven, gezworven
zwijg, zweeg, zwegen, gezwegen
bezwijk, bezweek, bezweken, bezweken
